               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10964,            0.039257,             0.04689,            0.005422,             0.26599,             0.01826,            0.004048,            0.086834,            0.035313,             0.03565,              0.0748,              0.0028,              0.0028
                   1,            0.085968,            0.039998,            0.032323,             0.26259,             0.29595,             0.05763,            0.021313,             0.08709,            0.029912,            0.025139,            0.048644,           0.0056436,           0.0056436
                   2,            0.078617,            0.034368,            0.023455,             0.07547,             0.27515,             0.06904,            0.013564,            0.090034,            0.023735,            0.017189,             0.02243,           0.0084297,           0.0084297
                   3,            0.077252,            0.028146,            0.017608,              0.2987,             0.74466,             0.47203,             0.15206,            0.068803,             0.02081,            0.013595,            0.009703,            0.009703,            0.009703
                   4,            0.071493,            0.024177,             0.01427,             0.42542,             0.54384,             0.37361,             0.11619,            0.066754,            0.018996,           0.0087561,            0.009703,            0.009703,            0.009703
                   5,            0.066223,            0.022305,             0.01041,             0.41079,             0.90771,             0.57121,             0.15114,            0.069385,            0.016911,           0.0061492,            0.009604,            0.009604,            0.009604
                   6,            0.059028,             0.02084,           0.0086906,             0.41022,             0.88958,             0.52366,             0.18978,            0.057659,            0.014983,            0.004865,            0.009505,            0.009505,            0.009505
                   7,            0.054324,            0.019507,           0.0077073,             0.66842,             0.87305,             0.82236,             0.37613,            0.043254,            0.013729,           0.0048629,            0.009406,            0.009406,            0.009406
                   8,            0.052259,            0.018278,           0.0064407,             0.62082,             0.95099,             0.68892,             0.29563,             0.04421,            0.013052,           0.0040715,            0.009307,            0.009307,            0.009307
                   9,            0.049247,            0.018672,           0.0054066,             0.54366,             0.97373,             0.78323,             0.36148,            0.044994,            0.012867,           0.0037951,            0.009208,            0.009208,            0.009208
                  10,            0.044975,            0.017401,           0.0050852,             0.88973,             0.95626,             0.93902,             0.45799,            0.035762,            0.012189,           0.0036533,            0.009109,            0.009109,            0.009109
                  11,            0.045233,            0.017027,           0.0048521,             0.81451,             0.96349,             0.90213,             0.38226,            0.044396,            0.012245,           0.0035953,             0.00901,             0.00901,             0.00901
                  12,            0.044037,            0.016046,           0.0043737,             0.83539,             0.97207,             0.91923,             0.44758,            0.036402,            0.011382,           0.0031065,            0.008911,            0.008911,            0.008911
                  13,            0.041491,            0.016824,           0.0039358,             0.69134,             0.98776,             0.85896,             0.41985,            0.036837,            0.011945,            0.003144,            0.008812,            0.008812,            0.008812
                  14,            0.039777,            0.015897,           0.0040386,             0.99499,             0.99266,             0.99459,              0.5636,            0.031177,            0.011227,           0.0031203,            0.008713,            0.008713,            0.008713
                  15,            0.039234,            0.016083,           0.0035754,             0.88721,             0.99261,             0.93458,             0.46158,            0.034287,            0.011189,           0.0028934,            0.008614,            0.008614,            0.008614
                  16,            0.038763,            0.015367,           0.0037755,             0.99039,             0.99516,             0.99451,             0.54121,            0.032838,             0.01117,           0.0027793,            0.008515,            0.008515,            0.008515
